"sample","batch","tissue","OTU1","OTU2","OTU3","OTU4","OTU5","OTU6","OTU7","OTU8","OTU9","OTU10","OTU11","OTU12","OTU13","OTU14","OTU15","OTU16","OTU17","OTU18","OTU19","OTU20","OTU21","OTU22","OTU23","OTU24"
"AaF4","1","Ectosome",0.01,0.01,0.01,0.01,0.546,0.01,0.13,0.01,0.128,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.04,0.01,0.137,0.01
"AaF5","1","Choanosome",0.01,0.01,0.01,0.066,0.01,0.274,0.198,0.01,0.171,0.097,0.056,0.01,0.01,0.01,0.01,0.087,0.083,0.01,0.01,0.01,0.019,0.01,0.048,0.01
"AaF6","1","Ectosome",0.01,0.057,0.01,0.01,0.466,0.01,0.08,0.01,0.194,0.01,0.01,0.01,0.01,0.01,0.038,0.042,0.025,0.01,0.01,0.01,0.027,0.01,0.161,0.01
"AaF7","1","Choanosome",0.01,0.01,0.01,0.081,0.01,0.22,0.177,0.01,0.17,0.09,0.069,0.01,0.01,0.081,0.01,0.079,0.083,0.01,0.01,0.01,0.029,0.01,0.031,0.01
"AaF8","1","Ectosome",0.01,0.022,0.01,0.116,0.295,0.01,0.131,0.01,0.127,0.082,0.061,0.07,0.01,0.074,0.01,0.057,0.057,0.01,0.01,0.01,0.01,0.01,0.029,0.01
"AaF9","1","Choanosome",0.01,0.01,0.01,0.087,0.01,0.212,0.151,0.01,0.155,0.075,0.072,0.075,0.01,0.078,0.01,0.09,0.083,0.01,0.01,0.01,0.01,0.01,0.033,0.01
"AaF10","1","Ectosome",0.01,0.017,0.01,0.065,0.324,0.01,0.138,0.01,0.139,0.077,0.065,0.081,0.01,0.072,0.01,0.06,0.035,0.01,0.01,0.01,0.023,0.01,0.033,0.01
"AaF11","1","Choanosome",0.01,0.01,0.01,0.1,0.01,0.231,0.153,0.01,0.159,0.084,0.078,0.084,0.01,0.085,0.01,0.063,0.04,0.01,0.01,0.01,0.019,0.01,0.023,0.01
"AaF12","1","Ectosome",0.01,0.062,0.01,0.106,0.306,0.01,0.148,0.01,0.145,0.073,0.01,0.01,0.01,0.085,0.01,0.075,0.043,0.01,0.023,0.01,0.021,0.01,0.034,0.01
"AaF13","1","Choanosome",0.01,0.01,0.01,0.075,0.01,0.204,0.212,0.01,0.121,0.082,0.01,0.044,0.01,0.09,0.01,0.102,0.105,0.01,0.018,0.01,0.031,0.01,0.037,0.01
"AaF14","1","Ectosome",0.01,0.022,0.01,0.01,0.325,0.01,0.112,0.116,0.117,0.082,0.01,0.01,0.01,0.089,0.01,0.072,0.083,0.01,0.01,0.01,0.035,0.01,0.058,0.01
"AaF15","1","Choanosome",0.01,0.01,0.01,0.01,0.01,0.24,0.341,0.01,0.211,0.068,0.01,0.01,0.01,0.078,0.01,0.025,0.042,0.01,0.026,0.01,0.033,0.01,0.036,0.01
"AaF16","1","Ectosome",0.01,0.01,0.01,0.01,0.53,0.01,0.122,0.01,0.148,0.045,0.01,0.01,0.01,0.034,0.01,0.024,0.066,0.01,0.01,0.01,0.02,0.01,0.102,0.01
"AaF17","1","Choanosome",0.01,0.01,0.01,0.01,0.01,0.244,0.266,0.01,0.155,0.084,0.01,0.01,0.01,0.069,0.01,0.033,0.123,0.01,0.023,0.01,0.052,0.01,0.052,0.01
"AaF18","1","Ectosome",0.01,0.111,0.01,0.01,0.205,0.01,0.01,0.339,0.185,0.064,0.01,0.01,0.01,0.065,0.014,0.026,0.029,0.01,0.016,0.01,0.01,0.01,0.056,0.01
"AaF19","1","Choanosome",0.01,0.01,0.01,0.01,0.01,0.205,0.27,0.01,0.181,0.085,0.01,0.01,0.01,0.04,0.01,0.057,0.06,0.01,0.022,0.01,0.071,0.01,0.107,0.01
"AaF20","2","Ectosome",0.116,0.091,0.01,0.01,0.616,0.01,0.092,0.01,0.094,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01
"AaF21","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.216,0.184,0.01,0.101,0.145,0.01,0.057,0.055,0.058,0.01,0.04,0.01,0.06,0.028,0.01,0.01,0.01,0.021,0.154
"AaF22","2","Ectosome",0.01,0.057,0.01,0.01,0.696,0.01,0.07,0.01,0.052,0.109,0.01,0.031,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.032,0.032,0.01,0.01
"AaF23","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.225,0.232,0.01,0.11,0.131,0.01,0.076,0.01,0.053,0.01,0.045,0.033,0.04,0.01,0.01,0.01,0.01,0.03,0.135
"AaF24","2","Ectosome",0.01,0.231,0.01,0.01,0.584,0.01,0.01,0.01,0.149,0.01,0.01,0.019,0.01,0.019,0.01,0.017,0.018,0.023,0.01,0.01,0.01,0.01,0.03,0.01
"AaF25","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.163,0.124,0.01,0.061,0.13,0.038,0.142,0.01,0.048,0.01,0.057,0.065,0.079,0.01,0.01,0.01,0.01,0.05,0.162
"AaF26","2","Ectosome",0.01,0.034,0.01,0.01,0.454,0.01,0.1,0.01,0.09,0.082,0.01,0.117,0.01,0.051,0.01,0.033,0.033,0.027,0.01,0.01,0.028,0.071,0.01,0.01
"AaF27","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.143,0.159,0.01,0.118,0.126,0.01,0.158,0.01,0.093,0.01,0.048,0.037,0.045,0.022,0.01,0.031,0.034,0.01,0.117
"AaF28","2","Ectosome",0.01,0.156,0.01,0.01,0.394,0.01,0.152,0.01,0.066,0.01,0.047,0.063,0.01,0.021,0.01,0.018,0.02,0.057,0.063,0.032,0.01,0.01,0.04,0.01
"AaF29","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.103,0.107,0.01,0.062,0.102,0.067,0.168,0.01,0.055,0.01,0.01,0.013,0.052,0.088,0.04,0.042,0.035,0.01,0.206
"AaF30","2","Ectosome",0.01,0.083,0.01,0.01,0.555,0.01,0.117,0.01,0.068,0.01,0.027,0.066,0.01,0.01,0.01,0.01,0.025,0.07,0.041,0.01,0.01,0.01,0.047,0.01
"AaF31","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.224,0.095,0.01,0.096,0.045,0.038,0.054,0.01,0.01,0.01,0.042,0.031,0.108,0.116,0.041,0.01,0.01,0.064,0.174
"AaF32","2","Ectosome",0.01,0.193,0.028,0.051,0.509,0.01,0.051,0.01,0.047,0.01,0.018,0.043,0.01,0.01,0.01,0.02,0.01,0.057,0.033,0.024,0.01,0.01,0.056,0.01
"AaF33","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.196,0.097,0.01,0.109,0.025,0.032,0.119,0.01,0.01,0.01,0.102,0.037,0.154,0.033,0.01,0.01,0.01,0.045,0.171
"AaF34","2","Ectosome",0.01,0.067,0.01,0.01,0.463,0.01,0.081,0.01,0.049,0.01,0.033,0.092,0.01,0.01,0.01,0.039,0.043,0.112,0.046,0.01,0.01,0.01,0.084,0.01
"AaF35","2","Choanosome",0.01,0.01,0.01,0.01,0.01,0.179,0.129,0.01,0.01,0.01,0.01,0.151,0.01,0.039,0.01,0.021,0.019,0.09,0.152,0.01,0.108,0.01,0.01,0.213
