NMI,ARI,ASW
0.5157395936003554,0.7465827061895254,0.5469054
0.6619796169946476,0.8507095923748773,0.54580116
0.39256392779732247,0.6444436185546594,0.55434436
0.7407462079586322,0.8974308917694831,0.5492869
0.5157395936003554,0.7465827061895254,0.55425787
0.6993260289222768,0.8736988872238021,0.54802644
1.0,1.0,0.5554747
0.041357594047897045,0.5418620422869185,0.5046574
0.49218381593045224,0.7278643833512517,0.5560315
0.6086220751934541,0.8504802436357957,0.55285674
0.905976857860942,0.973188699849747,0.5546043
0.5677494690594694,0.7861035775923595,0.5498325
0.49218381593045224,0.7278643833512517,0.54856926
1.0,1.0,0.5523902
0.5677494690594694,0.7861035775923595,0.55150604
0.6993260289222768,0.8736988872238021,0.5475072
0.5408580444763099,0.7659934022788448,0.54922974
0.39256392779732247,0.6444436185546594,0.5451129
0.3591695254843612,0.615727002967359,0.55380285
0.49218381593045224,0.7278643833512517,0.55493623
0.7297705495487511,0.8963035048125911,0.548012
0.3285278473781165,0.5896214530622976,0.5527301
0.747611836791679,0.921739988750613,0.5556521
0.6279437296273573,0.8284532978421661,0.5512859
0.3402447452780218,0.662057752334271,0.5453084
0.6993260289222768,0.8736988872238021,0.5596802
0.6279437296273573,0.8284532978421661,0.54751533
0.14658401661616885,0.6134429577649184,0.5132872
0.5677494690594694,0.7861035775923595,0.5459393
0.39256392779732247,0.6444436185546594,0.55168515
1.0,1.0,0.54415077
0.6993260289222768,0.8736988872238021,0.5531266
0.7873817147022486,0.921915872364107,0.5562241
0.22657769426881988,0.594801781411988,0.5496757
0.23707544581957143,0.5185706059532247,0.54686916
0.6086220751934541,0.8504802436357957,0.5502195
0.5157395936003554,0.7465827061895254,0.5508293
0.3001862548835713,0.5661055894709649,0.5458623
0.6993260289222768,0.8736988872238021,0.55263066
0.6993260289222768,0.8736988872238021,0.55951464
0.5677494690594694,0.7861035775923595,0.5421165
0.6619796169946476,0.8507095923748773,0.5559124
0.39256392779732247,0.6444436185546594,0.5519088
1.0,1.0,0.5532694
0.6993260289222768,0.8736988872238021,0.5471265
0.905976857860942,0.973188699849747,0.54846543
0.7407462079586322,0.8974308917694831,0.55373573
0.8411422703337966,0.9471646667963805,0.55180424
0.49218381593045224,0.7278643833512517,0.5501082
0.05248858849248975,0.5513137210869077,0.5381254
