R2,p-value,test statistic
0.17112000994924684,0.001,15.070650608334912
0.22538838737285719,0.001,21.240776680865938
0.14693384529871958,0.001,12.573668112014747
0.1124118188114301,0.001,9.245349304049602
0.16415658686057621,0.001,14.336932794400278
0.14472910037657127,0.001,12.353073549142751
0.09523404330867044,0.001,7.68384918786762
0.2085349637298537,0.001,19.234017492445897
0.1087225272630377,0.001,8.904908665344534
0.15822540519049144,0.001,13.72155283626695
0.16590982650637107,0.001,14.520513152955397
0.16524146681590596,0.001,14.450438777246852
0.17095875267764635,0.001,15.053519937368844
0.1340353005175789,0.001,11.299048267939108
0.16590456312415897,0.001,14.519960873333956
0.1902022258880982,0.001,17.14596277454389
0.15347790642503864,0.001,13.235197585585157
0.1374166874468681,0.001,11.629506434491189
0.18736199884331303,0.001,16.830896286038524
0.13669769296781556,0.001,11.559023421303696
0.18391882519492864,0.001,16.451885736044254
0.14245958781301538,0.001,12.127183468622963
0.1689733586681972,0.001,14.843152516759567
0.11003768927564392,0.001,9.025945503898932
0.15132083710438043,0.001,13.016015464466387
0.20636060456421276,0.001,18.981321012820583
0.14984079403058714,0.001,12.866270090859196
0.16579534610955174,0.001,14.508502451470031
0.14212183155065192,0.001,12.09366794116076
0.17485747691779072,0.001,15.469564902943416
0.1858731624549807,0.001,16.66661782103857
0.20301664740735506,0.001,18.5953887399601
0.17168349284438938,0.001,15.130562857762714
0.1298813609119451,0.001,10.896605268115044
0.11931204648511216,0.001,9.88974512328895
0.13829213941893967,0.001,11.715485768895263
0.14445184086607346,0.001,12.32541297721694
0.1725701912589336,0.001,15.225006192452053
0.16082368174562867,0.001,13.990062054959255
0.1762657424121872,0.001,15.62081348148612
0.12136730370959878,0.001,10.083637005778362
0.1583524741922665,0.001,13.734645753210671
0.15828130496471357,0.001,13.72731214190235
0.13536752758414267,0.001,11.42893637343013
0.1119246425022892,0.001,9.200231527298259
0.136689520913314,0.001,11.558222989750117
0.15877090022444532,0.001,13.777787429698838
0.20595868445481866,0.001,18.934762802460575
0.21026647980836585,0.001,19.43624353476355
0.13638475289106244,0.001,11.52838256894703
